,date,cusip,permno,permco,bidlo,askhi,prc,vol,ret,bid,ask,shrout,openprc,numtrd,retx,gvkey,datadate,fyearq,fqtr,fyr,tic,cusip,conm,datacqtr,datafqtr,rp,rdq,actq,altoq,ancq,aoq,arcedq,arceepsq,arceq,atq,cshfd12,ceqq,dd1q,cheq,chq,cogsq,csh12q,cshiq,cshopq,cshoq,dlcq,dlttq,dpq,dpretq,drcq,drltq,gdwlq,glaq,npq,ibcomq,ibmiiq,ibq,obkq,intanoq,intanq,invtq,lctq,lltq,lseq,ltq,niq,nopiq,oibdpq,piq,ppegtq,ppentq,prcraq,rcaq,rectq,rectrq,revtq,saleq,stkcoq,teqq,tstknq,txdbaq,txdbq,txdiq,txpq,txtq,udoltq,uinvq,ulcoq,wcapq,xintq,xoprq,xrdq,xsgaq,amcy,aqcy,capxy,cdvcy,chechy,cogsy,depcy,dltisy,dltry,dpcy,dprety,dpy,dvpy,dvy,ffoy,fincfy,gdwliay,gdwlipy,ibmiiy,intpny,invchy,ivncfy,niy,nopiy,oancfy,piy,prstkccy,prstkcy,revty,saley,scstkcy,stkcoy,txdcy,txpdy,txty,uwkcapcy,wcapchy,xopry,xrdy,xsgay,cshtrq,dvpspq,mkvaltq,prccq,prchq,prclq
10,2012-10-22,86835810,47861.0,21694.0,11.789999961853,11.8035001754761,11.8035001754761,849.0,-0.0064393887296319,11.789999961853,11.8800001144409,6074.0,11.789999961853,7.0,-0.0064393887296319,010198,2012-09-30,2012.0,3.0,12.0,SGC,868358102,SUPERIOR GROUP OF COS INC,2012Q3,2012Q3,Q,2012-10-18,66.997,3.472,13.723,5.499,,,,80.72,6.1278,62.697,0.0,4.031,4.031,20.006,6.036,6.073,0.01,6.073,0.0,0.0,0.561,,0.0,0.0,0.0,,0.0,1.242,1.242,1.242,,2.027,2.027,40.846,9.369,8.654,80.72,18.023,1.242,0.0,2.259,1.692,,8.224,12.13,,20.133,17.532,30.599,30.599,0.181,62.697,0.0,3.215,0.05,,0.0,0.45,,,,57.628,0.006,28.34,,8.334,,0.0,0.83,,1.227,57.546,,27.84,28.48,1.74,,1.74,0.0,2.451,,-2.911,,,2.546,0.024,0.362,-0.829,2.546,0.0,4.967,3.796,,0.437,88.442,88.442,,0.893,0.042,1.296,1.25,,,82.882,,25.336,122394.0,0.135,72.876,12.0,12.65,11.1501
11,2012-10-22,83472810,89578.0,43694.0,8.4000997543335,8.49989986419678,8.48700046539307,505.0,-0.00152935704682022,8.39999961853027,8.5,5330.0,8.4000997543335,4.0,-0.00152935704682022,112101,2012-09-30,2012.0,3.0,12.0,SOMH,834728107,SOMERSET HILLS BANCORP,2012Q3,2012Q3,Q,2012-10-18,,,,50.62,,,,351.836,5.3833,41.482,,58.409,,0.402,5.3265,5.33,,5.33,0.0,7.5,0.114,,,,0.0,,,0.813,0.813,0.813,,0.0,0.0,1.99,,,351.836,310.354,0.813,-0.47,1.84,1.256,,4.886,8.7,,235.931,,,3.879,0.01,41.482,0.0,,0.0,,,0.443,,,,,,2.039,,1.637,,0.0,0.106,,-1.59,1.262,,0.0,0.0,0.403,,0.403,0.0,1.226,,-14.608,,,2.534,1.03,1.935,9.487,2.534,-1.349,3.531,3.915,,0.192,,11.905,,0.035,,1.455,1.381,,,6.238,,4.976,108051.0,0.08,45.038,8.4499,9.2885,8.19
12,2012-10-22,02932610,88719.0,40193.0,7.51919984817505,7.80000019073486,7.80000019073486,2341.0,0.0372340716421604,7.3600001335144,7.84000015258789,9328.0,7.51919984817505,15.0,0.0372340716421604,060983,2012-09-30,2012.0,3.0,12.0,AMRB,029326105,AMERICAN RIVER BANKSHARES,2012Q3,2012Q3,Q,2012-10-18,,,,268.848,,,,584.558,9.6308,93.846,,29.651,,0.88,9.6235,9.328,0.0,9.328,2.0,16.0,,,,,,,,0.78,0.78,0.78,,,16.354,13.681,,,584.558,490.712,0.78,,2.55,0.947,,2.182,,,270.196,,,6.046,0.046,93.846,0.0,,0.0,,,0.167,,,,,,3.496,,2.616,,0.0,0.283,,4.883,2.819,,2.0,,0.606,,,0.0,0.0,,-0.754,,,2.337,,0.0,-3.176,2.337,,8.813,3.066,,4.194,,18.267,,0.125,,,0.729,,,10.657,,7.838,526080.0,0.0,70.8928,7.6,7.71,6.41
13,2012-10-22,60907Q10,89799.0,44175.0,10.0900001525879,10.4098997116089,10.1999998092651,219084.0,0.000981376739218831,10.1700000762939,10.1999998092651,7252.0,10.1899995803833,540.0,0.000981376739218831,154595,2012-09-30,2012.0,3.0,12.0,MNRK,60907Q100,MONARCH FINANCIAL HLDGS INC,2012Q3,2012Q3,Q,2012-10-18,,,,52.385,,,,1110.412,8.5055,79.948,,34.867,,2.329,5.985,6.029,0.0,6.029,5.0,115.027,0.524,,,,0.775,,,3.377,4.131,3.763,,0.327,1.102,383.345,,,1110.412,1024.882,3.763,-5.012,11.778,6.242,,23.449,,,616.366,,,38.381,0.12,85.53,0.0,,0.0,,,2.111,,,,,,26.603,,24.274,,0.0,1.868,,3.122,8.639,,34.1,,1.576,,1.576,1.166,2.008,,185.233,,,9.733,4.193,-170.54,-25.957,9.056,-13.225,-156.154,14.822,,0.0,,98.659,,0.263,,4.58,5.089,,,69.036,,60.397,396475.0,0.05,58.7828,9.75,9.95,9.12
14,2012-10-22,57832110,11839.0,9641.0,10.3500003814697,10.3500003814697,10.3500003814697,479.0,-0.0295358262956142,10.25,10.5500001907349,2058.0,10.3500003814697,3.0,-0.0295358262956142,016926,2012-09-30,2012.0,2.0,3.0,MFLR,578321101,MAYFLOWER BANCORP INC,2012Q3,2012Q2,Q,2012-10-18,,,,90.641,,,,251.428,2.066,22.519,,16.188,,0.289,2.06,2.058,0.002,2.058,0.0,1.0,0.119,,,,0.0,,,0.375,0.375,0.375,,,,0.314,,,251.428,228.909,0.375,-0.527,1.226,0.58,,10.66,10.73,,133.625,,,2.844,0.059,22.519,0.0,0.345,0.0,,,0.205,,,,,,1.618,,1.329,,0.0,0.172,,3.373,0.586,,0.0,0.0,0.24,,0.24,0.0,0.248,,-0.794,,,0.764,0.554,0.0,2.391,0.764,-0.996,1.776,1.155,,0.065,,5.682,,0.074,-0.028,0.006,0.391,,,3.291,,2.705,67039.0,0.06,21.3003,10.35,11.24,9.85
15,2012-10-22,67180710,92878.0,53116.0,7.57000017166138,7.6399998664856,7.6399998664856,378.0,0.00196719565428793,7.5,7.75,7909.0,7.57000017166138,3.0,0.00196719565428793,066158,2012-09-30,2012.0,3.0,12.0,OVLY,671807105,OAK VALLEY BANCORP,2012Q3,2012Q3,Q,2012-10-18,,,,127.093,,,,627.817,7.7528,62.075,,107.412,,0.574,7.7268,7.909,0.0,7.909,0.0,0.0,0.283,,,,0.0,,,1.394,1.479,1.479,,0.0,0.0,0.0,,,627.817,558.992,1.479,-1.015,3.515,2.217,,13.104,,,380.208,,,7.318,0.051,68.825,0.0,,0.0,,,0.738,,,,,,3.803,,3.229,,0.0,0.453,,6.327,1.775,,0.0,3.0,0.848,,0.848,0.368,0.368,,7.268,,,4.292,0.932,0.0,-9.117,4.292,-3.075,8.176,6.387,,6.75,,21.898,,0.128,,0.965,2.095,,,11.588,,9.813,98612.0,0.0,59.2376,7.4899,8.25,5.02
16,2012-10-22,17462Q10,91608.0,51444.0,8.64999961853027,8.89999961853027,-8.77499961853027,0.0,0.0,8.64999961853027,8.89999961853027,1969.0,,0.0,0.0,117901,2012-09-30,2012.0,3.0,12.0,CZFC,17462Q107,CITIZENS FIRST CORP,2012Q3,2012Q3,Q,2012-10-18,,,,68.432,,,,394.304,2.049,26.944,,14.222,,1.125,1.969,1.969,,1.969,0.0,35.0,0.247,,,,4.097,,,0.717,0.942,0.942,,1.082,5.179,0.259,,,394.304,353.194,0.942,-0.85,2.405,1.308,,11.595,,,299.796,,,5.425,0.0,41.11,0.0,2.874,0.0,,,0.366,,,,,,3.02,,1.895,,0.0,0.224,,-16.327,3.761,,12.5,7.5,0.743,,0.743,0.672,0.636,,-12.581,,,2.476,2.676,0.399,-9.091,2.476,-2.565,5.345,3.373,,0.0,,16.098,,0.0,-0.106,0.56,0.897,,,9.417,,5.656,79137.0,0.0,16.0474,8.15,9.14,8.0
17,2012-10-22,G7243610,12794.0,53703.0,9.85000038146973,9.89000034332275,-9.8700008392334,0.0,0.00203050323762,9.85000038146973,9.89000034332275,4895.0,,0.0,0.00203050323762,186435,2012-06-30,2012.0,2.0,12.0,PACQF,G72436101,PRIME ACQUISITION CORP,2012Q2,2012Q2,Q,2012-10-18,36.682,0.0,0.004,0.0,,,,36.686,4.4905,5.002,0.0,36.647,0.024,0.0,4.4905,4.895,,4.895,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,-0.249,-0.249,-0.249,,0.0,0.0,0.0,1.304,30.38,36.686,1.304,-0.249,0.014,-0.263,-0.249,,0.004,,,0.0,0.0,0.0,0.0,0.09,35.382,0.0,0.0,0.0,,0.0,0.0,,,,35.378,0.0,0.263,,0.263,,0.0,0.002,,-0.045,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.03,,,-0.249,,0.0,0.001,-0.249,0.014,-0.076,-0.249,,0.0,0.0,0.0,,0.09,0.0,,0.0,,,0.263,,0.263,52820.0,0.0,47.2368,9.65,12.11,9.62
18,2012-10-22,31942S10,86573.0,16367.0,20.5,20.5,20.5,2500.0,0.0113467946648598,20.0699996948242,21.6700000762939,2785.0,20.5,3.0,0.0113467946648598,117034,2012-09-30,2012.0,3.0,12.0,FCAP,31942S104,FIRST CAPITAL INC,2012Q3,2012Q3,Q,2012-10-18,,,,141.371,,,,458.352,2.7853,52.12,,22.695,,0.925,2.7853,3.164,0.0,2.785,9.112,10.1,0.175,,,,5.386,,,0.719,0.722,0.719,,0.0,5.386,2.726,,,458.352,406.124,0.719,-0.323,2.131,0.94,,10.593,,,280.967,,,5.848,0.0,52.228,0.379,0.0,,,,0.218,,,,,,3.717,,2.792,,0.0,0.416,,3.772,3.053,,,2.25,0.576,,0.576,0.0,1.602,,15.814,,,2.683,2.02,1.315,-18.669,2.673,-2.304,6.627,3.691,,0.014,,17.42,,0.0,-0.508,0.976,1.008,,,10.156,,7.103,13181.0,0.19,54.3078,19.5001,21.0,19.07
19,2012-10-22,72581M30,88260.0,37524.0,2.35999989509583,2.52999997138977,2.35999989509583,58902.0,-0.0288066547363997,2.36999988555908,2.41000008583069,18401.0,2.41000008583069,180.0,-0.0288066547363997,135044,2012-09-30,2012.0,3.0,12.0,PXLW,72581M305,PIXELWORKS INC,2012Q3,2012Q3,Q,2012-10-18,26.227,1.918,8.937,1.918,,,,35.164,18.1375,17.637,0.0,15.566,15.566,7.304,18.1375,18.401,,18.401,0.0,0.0,1.193,,0.0,0.0,0.0,,0.0,-0.4,-0.4,-0.4,,0.0,0.0,4.729,13.659,3.868,35.164,17.527,-0.4,0.001,0.722,-0.576,23.008,7.019,,,3.756,3.756,16.285,16.285,0.552,17.637,0.0,,,,0.129,-0.176,,,,12.568,0.106,15.563,4.702,8.259,,0.0,1.275,,0.474,19.342,,0.0,1.454,3.541,,3.541,0.0,0.0,,-1.01,,,-2.137,0.092,-0.622,-1.275,-2.137,0.004,2.759,-2.926,,0.0,46.139,46.139,,1.53,0.0,0.352,-0.789,,,45.22,14.51,25.878,4186951.0,0.0,54.283,2.95,3.63,2.32
20,2012-10-22,46564T10,67029.0,3333.0,1.62999999523163,1.64999997615814,1.62999999523163,12400.0,-0.00609755516052246,1.62999999523163,1.63999998569489,33618.0,1.64999997615814,,-0.00609755516052246,008087,2012-09-30,2012.0,2.0,3.0,ITI,46564T107,ITERIS INC,2012Q3,2012Q2,Q,2012-10-18,40.319,6.676,28.25,26.377,,,,68.569,34.024,56.28,0.0,19.974,19.974,9.193,33.921,33.603,0.163,33.603,0.0,0.0,0.401,,2.039,0.0,17.318,,0.0,0.55,0.55,0.55,41.2,2.383,19.701,8.277,10.912,1.377,68.569,12.289,0.55,-0.006,1.251,0.831,,1.873,1.47,,8.536,8.536,15.504,15.504,0.076,56.28,0.0,6.468,0.0,,0.0,0.281,,,,29.407,,14.253,0.834,5.06,,0.0,0.388,,1.273,19.01,,0.0,0.634,0.785,,0.785,0.0,0.0,,-1.195,,,1.139,,,-0.515,1.226,-0.006,2.983,1.734,,0.684,31.808,31.808,,0.143,0.628,,0.595,,,29.604,1.467,10.594,2389063.0,0.0,50.7405,1.51,1.72,1.34
21,2012-10-22,15568510,90082.0,44995.0,8.5,8.69999980926514,8.50170040130615,5597.0,0.00611841352656484,8.5,8.6899995803833,9606.0,8.5,18.0,0.00611841352656484,063224,2012-09-30,2012.0,3.0,12.0,CVCY,155685100,CENTRAL VALLEY CMNTY BANCORP,2012Q3,2012Q3,Q,2012-10-17,,,,415.6,,,,887.737,9.5978,110.486,,76.919,,0.434,9.578,9.606,0.008,9.606,4.0,5.155,2.095,,,,23.577,,,2.369,2.456,2.456,,0.633,24.21,0.0,,,887.737,770.251,2.456,0.119,5.177,3.201,,6.296,8.2,,388.922,,,10.29,0.019,117.486,0.0,,0.0,,,0.745,,,,,,5.113,,4.679,,0.0,1.142,,32.115,1.998,,0.0,0.0,5.957,,5.957,0.262,0.262,,24.363,,,5.878,1.571,0.0,-8.348,5.878,0.189,16.1,7.37,,0.061,,29.659,,0.083,0.514,0.76,1.492,,,16.521,,14.523,269042.0,0.0,78.0968,8.13,8.75,6.75
22,2012-10-22,92932Q10,81614.0,4988.0,7.82100009918213,8.40999984741211,7.84009981155396,25056.0,-0.0199875235557556,7.84000015258789,7.90000009536743,2913.0,8.40999984741211,82.0,-0.0199875235557556,011302,2012-08-31,2012.0,4.0,8.0,WSCI,92932Q102,WSI INDUSTRIES INC,2012Q3,2012Q4,Q,2012-10-17,11.391,0.0,11.683,2.368,,,,23.074,2.903,11.667,1.377,2.912,2.912,7.702,2.849,2.913,0.0,2.913,1.377,5.463,0.396,,0.0,0.0,2.368,,0.0,0.599,0.599,0.599,,0.0,2.368,2.92,4.974,6.433,23.074,11.407,0.599,0.0,1.413,0.937,19.129,9.315,0.0,,5.199,5.199,9.965,9.965,0.05,11.667,0.0,0.0,0.97,0.806,0.0,0.338,,,,6.417,0.08,8.552,,0.85,,0.0,0.582,,-0.008,25.232,,0.0,1.199,1.46,,1.46,0.0,0.456,,-1.623,,,1.473,0.317,-0.904,-0.573,1.473,0.014,2.188,2.302,,0.0,32.456,32.456,,0.198,0.808,0.019,0.829,,,28.392,,3.16,917977.0,0.04,20.5658,7.06,7.75,4.43
23,2012-10-22,31983510,89643.0,43845.0,8.60000038146973,8.73999977111816,-8.67000007629395,0.0,0.00231219176203013,8.60000038146973,8.73999977111816,5224.0,,0.0,0.00231219176203013,112295,2012-09-30,2012.0,3.0,12.0,FCCO,319835104,FIRST COMMUNITY CORP/SC,2012Q3,2012Q3,Q,2012-10-17,,,,235.569,,,,606.339,3.6818,53.528,,20.379,,1.436,3.6615,5.224,,5.224,15.651,56.408,0.273,,,,0.571,,,0.881,1.22,1.22,,0.211,0.782,14.255,,,606.339,552.061,1.22,-1.017,3.083,1.793,,17.297,,,318.839,,,8.052,,54.278,0.0,,0.0,,,0.573,,,,,,4.969,,3.533,,0.0,0.452,,3.887,4.661,,1.5,6.992,0.792,,0.792,0.676,0.872,,8.876,,,2.947,4.645,0.0,-13.053,2.947,-3.463,8.064,4.25,,10.535,,23.375,,,0.0,0.0,1.303,,,14.749,,10.088,227279.0,0.04,44.0383,8.43,8.76,7.84
24,2012-10-22,90540010,89279.0,42549.0,19.9899997711182,20.0900001525879,20.0900001525879,1030.0,0.0135663468390703,19.8500003814697,20.0,4457.0,20.0699996948242,6.0,0.0135663468390703,111537,2012-09-30,2012.0,3.0,12.0,UNB,905400107,UNION BANKSHARES INC,2012Q3,2012Q3,Q,2012-10-17,,,,56.319,,,,582.915,4.457,42.12,,54.714,,0.965,4.457,4.924,0.0,4.457,2.3,23.456,0.279,,,,2.223,,,1.981,1.981,1.981,,1.48,3.703,16.769,,,582.915,540.795,1.981,-1.615,4.427,2.533,,10.328,,,444.785,,,9.243,0.0,42.12,0.467,,0.0,,,0.552,,,,,,4.816,,3.851,,0.0,1.811,,10.699,3.088,,2.0,0.868,0.769,,0.769,0.0,3.343,,24.774,,,4.646,2.7,-7.988,-11.583,4.646,-4.33,-2.492,5.758,,0.013,,25.695,,0.006,-0.718,1.5,1.112,,,14.838,,11.75,51980.0,0.25,86.9115,19.5,21.0,18.8
